Puan	Yorum
0.0	Çok güzel ürün 42 numara söyledim 43 gibi
1.0	Teþekkür ederiz
1.0	Ürünü kargoya 2 hafta sonra verdiler , diyebileceðim tek eksik nokta bu .
1.0	Belirtilen tarihten erken geldi ürün iyi paketlenmiþ ve gayet güzel. Parasýnýn hakkýný veriyor tavsiye ederim
1.0	Gayet þýk ve güzel
1.0	Kesimi bir týk bol. Ama iyi ürün tavsiye derim.
1.0	Ýndirimdeyken aldým. Çok kaliteli bir ürün
0.0	Sipariþi verdim . Kargo düzce de görünüyor. Bir baktýk ki aaa iade gerçekleþmiþ. Premiuma veda hb kargo firmasý kadar müþterilerin yanýnda durunuz...
1.0	Çok çok iyi
1.0	Gayet güzel…
1.0	5 tane aldým gayet kaliteli iþ görür fazla para vermeye gerek yok
0.0	Çok esnek ilk hava basýmýmda kanttan attý. Üçüncü denemede ve az hava basarak takýldý. Biraz akýllýn havasýný düzelteceðim. Kargoda katlanmýþ tam oradan atýyor hep. Ve çok geç geldi.
0.0	Bunu baska bi saticidan almistim. Begendigim icin yine almak istedim. Urun ilk aldigimla arasinda cok fark var. Bunun kasasi plastik cok ozensiz paketlenmis. Ledin uzeri cizikle dolu. Kesinlikle tercih etmeyin.
1.0	10 numara 5 yýldýz bir urundu. Kalitesi gayet güzel. Pamuklanma kecelenme yapmadý. Bayýldýk.
1.0	Ürünü çay ve kahve taþýmak için aldým saatlerce bekledi ama soðumadý bence güvenilir bir ürün. Kapaðý iþlevsel genelde kapaðýyla içiyorum
1.0	baþarýlý ürün hýzlý kargo teþekkürler..
1.0	Oðlum çok rahat dediðini söyledi fiyat performansýna göre çok iyi
1.0	Bir gunde geldi. Hafif, saglam, saglikli.
1.0	Biraz ince umarým çabuk delinmez.
1.0	Çok fazla toz topluyor
1.0	Kendinden dolu, termosta soguk kalmasi süresi cok uzun, super ürün.
1.0	Kalitesi zaten belli. Büyüklüðü de gayet iyi. Piknik ve kamplarýn vazgeçilmez, saðlam bir ürünü.
1.0	Gayet güzel hýzlý kargo indirimde aldým
1.0	189 cm boy, 82 kg, XL sipariþ verdim, biraz büyük geldi. Uzun kol olmasý güzel L da olurmuþ.
1.0	Sectigim renk geldi ve kalite bakimindan çok güzel teþekkürler ??
1.0	Ürün fiyatýna göre gayet iyi.
1.0	Tam kalýp miiss
1.0	Bu kalite þaka mý.. Buzdolabý gibi asla ýsýnmýyor içecek. Tabi bide özel serinin ayrý bir havasý var efsane kutup ayýsý ithalatý ömür boyu garantisi ile en iyisi
1.0	standart ürün.Alýnabilir
1.0	Süper ürün
1.0	Oldukça güzel bir ürün fiyatýda çok iyi oldukça memnun kaldým... Emeði geçen herkese teþekkürler...
0.0	Alalý 1hafta oldu kesinlikle almayýn kalitesiz
0.0	Almayýn aldýrmayýn patlak çýkýyo be yardýmcý olmuyorlar
1.0	Satýcý güzel paketlemiþ ve ilgiliydi. Ürün konusuna gelirsek ; bu kadar yorum ve övgüye güvenerek gözüm kapalý sipariþ etmiþtim ancak ürünün kapak kýsmý ve kapaðý sýktýðýnýz o çelik halka kýsým bildiðiniz suyun sýcaklýðý ile ayný ýsýya ulaþýyor. Bu ýsýyý muhafaza edemediði anlamýna geliyor 2 saat içerisinde tamamen ýlýk seviyeye düþüyor su. Yanlýþ anlaþýlmasýn derdim ürün gömmek deðil gerçek bi kullanýcý yorumu yapayým ki alacaklar ona göre alsýn. Kalitesi klasik Stanley kaya gibi kapak sýzdýrmazlýðý da sorunsuz ancak birincil vazifesi sývýyý sýcak tutmak ve bunu yapamýyor. Stanley 1,3 ve 1,9 lt modellerini de uzun yýllardýr kullanýyorum onlar vaadedilenden fazlasýný bile yaparken bu model bence 7 saat deðil de 2 saat tutuyorum yazmalýymýþ sýcaklýðý. Cepte kahve ile dolaþmalýk Xiaominin bi termosunu kullanýyordum 5 yýldýr. 8 saat kusursuz koruyor sýcaklýðý. 0,33 litre olduðundan büyütmek maksadý ile Stanley’i sipariþ vermiþtim ancak beklentimi karþýlamadý. Neredeyse unutuyordum bide basma düðmesi bi miktar çýkýntý þeklinde kaldýðý için öyle gözünüz kapalý çantaya sallayýp gezemezsiniz çünkü tuþ basiveriyor kendiliðinden zaten azýcýk dokununca aðýz açýldýðý için sývý direk dökülmeye baþlýyor. Stanley gibi bi marka daha uzun Ar-Ge yapmalýymýþ diyorum. Ýyi bakýn kendinize..
1.0	Tam f/p ürün demirlerde soyulmalar oldu ama normal bence , birkaç aðýrlýktan çamur damladý ara sýra ve teslimat süresi uzun sürdü
1.0	cok cok ýyý fýyat
1.0	bir çok amaca uygun büyük bir çanta.
1.0	Fena degil fiyata göre güzel
0.0	Ürün kalitesiz
1.0	Ýnternet alýþveriþinde bu kadar hýz yok artýk dedirtir. 26 saatte geldi. Teþekkürler Hepsiburada:)
1.0	Malzeme kalitesi biraz yetersiz gibi geldi.
1.0	Ürün güzel ama mng kargoyla çalýþmanýz bidaha düþünün bence??
1.0	Ürün geldiginde ayak ustune denk gelen kisimda iz vardi sanki katlanilmis gibiydi haricinde sorun yok icinde gelen tabanlik iyi deðil kendim disardan tabanlik aldim
1.0	Baþarýlý bir ürün. Tavsiye ederim.
1.0	Çok uzun ateþ olmuyor ama iyi.
1.0	Eþime aldýk memnun kaldý güle güle giysin
1.0	Çok güzel geldi
1.0	Ufak biraz
1.0	Ürün gayet güzel ve kullanýþlý. Teþekkür ederim.
1.0	Ürün plastik, kurulum biraz zorladý. Ama ilk kullanacaklar için fena deðil.
1.0	Orjinal ürün hýzlý kargo 
1.0	Ürün güzel kaliteli ve kalýn malzeme. biraz plastik kokusu oluyor baþta ama sonra geçiyor
1.0	Gayet kullanýþlý teþekkürler ömrünü ömrümüz oldukça göreceðiz inþallah
1.0	Çanta gayet güzel su bölmesi kaliteli fakat iç bölmesi yok.
1.0	Kargo yavaþ yaklaþýn 10 günde geldi çok rahat top kontrolü iyi dün geldi bugün ilk antrenmaný sabah yaptým güzel tavsiye ederim korkmadan alýn bedeni ayaðýma tam 39 giyiyom 40 aldým ayaðýmýn kalýbý büyük diye önde az boþluk var ayaðýnýz geniþliði normalse tam numara alýn ama 1 numara büyük almanýzý tavsiye ederim.
1.0	Tþk
1.0	Çok güzel, tavsiye ederim.
0.0	Kargomda eksik var z bar ve düz bar gelmedi
0.0	rüzgar geçiriyor motosiklette
1.0	Verdiðiniz ücretin çok üstünde performans sunan aletler, memnunum..
1.0	Hediyeniz için teþekkür ederim
1.0	Ürün elimize resimdeki gibi geldi sorunsuz istediðim gibi çýktý
1.0	YDS markasýnýn burada açmýþ olduðu maðaza ve hepsiburada indirimi ile çoðu askeri malzemeciden uygun bir fiyata direk fabrikadan (raf ömrü beklememiþ) ürün almýþ oldum. Daha ne isterim.
1.0	Saðlam güvenilir
1.0	Ürün kalitesi iyi fakat ürünü alýrken boy faktörüne çok dikkat etmeniz gerekiyo kendi yaþýnýzla uygun olan ürünü almanýz lazým
0.0	Bu ürün kullanmaya baþladýktan 5 dk. sonra baþparmak noktasýndan koptu. Ücret iadesi istedim, satýcý kabul etmemiþ. Size 5dk. sürecek bir deneyim için 89,50 ? ödeyecek kaç kiþi var bu dünyada? Paramý iade edin, ürünü de geliþtirin yada satmayýn.
1.0	Harýka Erzurum da korusun soguktan diye 2. Sevýye aldým terleyen hasta olan kýzým sukur daha iyi harýka urun
1.0	Güzel kaliteli bir ürün
0.0	Berbat yirtýldý hurda pilastikten yapilmiþ
1.0	1.80m, 95 kg. Tam oldu. Fiyatýna göre çok iyi. Polar yumuþak.
1.0	Güzel kaliteli ürün
1.0	Gayet güzel bir bagaj. Saðlam bir yapýsý var. Aðýr da deðil. 26 jant bisikletime montajýný yaptým hiç oynamýyor saðlam duruyor. Üzerine çantamý sabitliyorum iþimi gördü. Arkasýnda da reflektör takma yeri mevcut. Hoþuma gitti tavsiye ederim.
1.0	Çok beðendik teþekkür ederiz.  Beklediðimden güzel bir ürün çýktý ??????
1.0	Kaliteli güzel ups dýþýnda kargo olsa daha iyi olur þehircilik kargoda  2 gün kargo suresi çok fazla
1.0	Kaliteli bi ürün zaten termos deyince Stanley’den þaþmayacaksýn düþünmeden alýn derim
1.0	Urun güzel hýzlý geldi
1.0	Paketleme 0 dý, nasýl saðlam geldi bilmiyorum. Patpata bile sarýlmamýþ, karton kutunun içine konup gönderilmiþ,Kargolama hýzý güzeldi ertesi gün elime ulaþtý. Paketlemeye dikkat etmeleri gerek. Ürünün kalitesine diyecek bir þey yok, aldýðýmýzdan beri devamlý kullanýyoruz.
1.0	Ürün gayet güzel ve yeterli kalýnlýkta ,kesinlikle ince deil ve en uygun fiyata bizlere ulaþtirdiklari için firmaya teþekkürler, ayrýca kargo hýzlý geldi.
1.0	60 ve 90 liktan sonra almanýzý tavsiye ederim
1.0	çok beðenerek aldým
1.0	F/P olarak son derece baþarýlý, boyutlarý ufak taþýmasý kolay; uzun süre kullanýp þarj ömrünü ölçmedim lakin anlýk ýþýk ihtiyacýný çok iyi karþýlýyor
1.0	Ýyi ürün.
1.0	Kargo erken geldi ama paketleme biraz özensizdi.
0.0	Daha valizimi ilk sehatýmde ýkisi de kýrýldý birisinde tekerlek kýsmý komple göçtü kýrýldý öbürü de orta yerinde yarýk var. Allah tan makyaj çantasý yanýmýza aldýk. Bu kadar  para  verdik çöp . Asla bi daha  almam
1.0	Çok zarif ve klasik bir maske. Yüksek kaliteli ömürsüz performans
1.0	1.70 boy 72 kg  M beden tam oldu ne dar ne genis kaliteside baya iyi tavsiye ederim
1.0	Hediye almýþtým. Çok beðenildi. Hýzlý teslimat, Düzgün paketleme ve hediye için ayrýca teþekkür ederim.
1.0	Beklediðimden daha iyi
1.0	güzel ayakkabý tavsiye ederim
1.0	Ürün süper
1.0	Cokk guzelll
0.0	Ürün idare eder ama 68kg lýðýný almama raðmen 2kg lýk olan aðýrlýklarý göndermediler. Az aðýrlýk takýpta kullanamýyorum.
1.0	Tansu hanýmýn tavsiyesiyle aldým çok severek kullanýyorum
1.0	Her þey fotoðraftaki gibi. Satýcý ürünü çok iyi paketlemiþ. Kargo hepsijet mükemmel. Bu kadar kibar bir kargo þirket görmedim. Teþekkürler
1.0	Guzel kaliteli mükemmel
1.0	Ürün boyu 170-173 cm, almak isteyenler ona göre deðerlendirilebilir.  Benim için uygun boyu.
1.0	Baþarýlý bir ürün, hýzlý teslim. Tavsiye ederim.
0.0	Sakin almayýn. Boþa verilmiþ bir para oldu
0.0	Numara yanlýþ geldi
1.0	Çok kaliteli bu kadar beklemiyordum
1.0	Ürün güzel paketleme rezalet
1.0	Þahane bir kumaþý ve kalitesi var bir týk kollarý büyük oldu ama oda cok sorun deðil tereddütsüz alabilirsiniz..
1.0	Cok süper bi ürün kargo da qayet iyi
1.0	Ürünler için teþekkür ederim ,tam istediðim gibi, ayrýca 1 karides hediyeye ayrýca teþekkür...
1.0	Ürün süper,3 lt haznesi ile 2 kedim için 10 gün su doldurmadan idare ediyor
0.0	yorumlarda amblemi soyuluyor diye okumama raðmen aldým büyük piþmanlýk
1.0	Ürün görseldeki gibi ve hýzlý olarak gönderildi
1.0	Tam istediðim gibi
1.0	Çok saðlam ve kaliteli.
0.0	Lastikler çok küçükmüþ. Ürün görselinde detay verilmeli.
1.0	Benim gibi þýnav çekmede zorlananlar için ideal
1.0	tam istediðim gibi ürün.
1.0	Büyüklügü mükemmel çok sevdim ama bi plastik kokusu var oda geçer diye düþünüyorum
1.0	On numara beþ yýldýz. Parasýnýn hakkýný fazlasýyla  veriyor. Abartýlý bir þekilde zorlamadýkça ömürlük olacaðýný düþünüyorum.
0.0	Ýstediðimiz renk gelmedi
1.0	Ürün çok iyi kýzým çok beðendi hemen elime ulaþtý
1.0	Fiyata göre uygun
1.0	Süper bir ürün ama omuz bölgeleri çok çabuk açýlabiliyor
1.0	Cin toniði içine koyup 1 saat boyunca takýlmalýk.
1.0	Mükemmel ürün hýzlý teslimat
1.0	Bir gund teslim edildi gayet kullanýþlý çok rahat
1.0	ürün hem kullanýþlý hem de yeterince  büyük
1.0	Çok hoþ bir çanta küçük tüpe güzel görünüm kazandýrdý ??
1.0	Bir numara büyük alýnabilir skecherslarin tabaný daha iyi
1.0	Beklentiyi karþýlýyor. Oðlum için aldým, oðlum memnun. Yararlý buldu.
1.0	Pratik, Iþýðý Yüksek, hafif, iþime yaradý,
1.0	Tam beklediðim gibi çok güzel
1.0	Harika garantisini de yaptýrdým çok Kýsa sürede elime ulaþtý
1.0	içine hava bile girmiyor, ayaðý çok terletiyor
1.0	gayet güzel resimdeki gibi...kullanýþlý
1.0	gayet baþarýlý bir ürün
0.0	Aðýrlýklar ne deðil. 8,75kg gelen var 4,60 gelen var. Malzemelerden hiç memnun kalmadým. Fena olmayan malzemeler z bar ve düz bar. Onlarda idare edecek kývamdadýr.
0.0	bu ürünler abdest için deðil su alýyor. kaliteli bir ürün deðil bu fiyatlar etmez
1.0	ürün çok iyi ama termosu kutusuz sadece balopnlu naylona sarýp gönderdiklerinden açarken kullandýðým maket býçaðý ürünü 5 6 yerden çizdi
1.0	Ben çok beðendim sadece daha aðýr bekliyordum daha hafif geldi içerisinde sýcaðý ve soðuðu uzun süreli koruyor temizliði kolay sadece biraz uzun sürdü gelmesi onun dýþýmda paketleme gayet güzeldi
1.0	Resimdeki ürünün aynýsý henüz salonda denemedim ancak tabaný çok rahat. Ýnanýlmaz hýzlý kargo sadece 8 günde elimde oldu
0.0	41 giymeme raðmen 41.5 aldim kalýbý hala çok dar geldi. Ayrica tabaný cok sert orjinal olduðunu düþünmüyorum.
1.0	Gayet güzel ve büyük penseler gibi. Kaliteli.
1.0	Gayet iyi fakat koltuk kýsmý çok sert ama yaylar müthiþ
1.0	Ürün kompakt olmakla beraber performans açýsýndan da yeterli. Zarif duruyor. Eðim konusu benim için önemliydi, o açýdan çok memnun kaldým. 1-20 arasý otomatik ayarlanan seviyeler var ve max seviye de epeyce dik. Ýlk izlenim olarak memnun kaldým.
1.0	Ürün süper cok beðendim hediye için teþekkürler
1.0	Tam zamanýnda almýþýz ürün kaliteli
0.0	elime küçük geldi hatta bir parmaðým boþta kalýyor
1.0	Gayet kullanýþlý saðlam bir ürün.
1.0	Benim ayaðým geniþtir normalde o yüzden ayakkabý alýrken genelde sorun yaþarým.Özellikler kramponlarda bunu da alýrken ilkte tereddüt etmiþtim lakin sanki tam ayaðýma göre yapýlmýþ gibi.42 ise ayaðýnýz 42 alýn tam oldu hatta biraz boþluk bile var tozlukla tam oturur.Bana Tozluk gelmedi eski yorumlarda öyle söylüyordu bakalým deneyince maçta nasýl olacak ...
1.0	Tavsiye ediyorum.
1.0	Ürün güzel istediðim gibi günlük herþeye uygun bir numara büyük aldým uç kýsmý biraz dar olduðu için genel olarak güzel marka indirimi ile çok uyguna geldi teþekkürler
1.0	Güzel gözüküyor
1.0	Güzel paketlenmiþti ve zamanýnda geldi
0.0	Üründe metal parça yok eksik yollamýþlar
1.0	ürün fiyatýnýn hakkýný kesinlikle veriyor. benim sipariþim 11 günde geldi ve kesinlikle kendi bedeninizi alýn tam oturuyor.
1.0	10 yýldýz verebilsem veririm gerçekten tek kelimeyle harika paketlemede çok özen gösterilmiþ gerçekten teþþekkür ederim.
1.0	Güzel daha ne olsun
0.0	Pembe ve mor sip. verdim ikisi de ayný renk ve 8mm geldi 16mm deðil. Allah islah etsin
1.0	Ürün paketlenmesi daha güzel olabilir di ürün gayet güzel güvenle alanabilir.
1.0	memnun kaldým ??
1.0	Çok iyi iþ görüyor
1.0	Ayaklarý sýcacýk tutuyor
1.0	Ürün gercekten cok kaliteli
1.0	Sabýrlý olup yurtdýþýnan sipariþ verin tr de bu fiyata 1 adetini satýyorlar
1.0	beklediðim gibi biraz gec geldi
1.0	2 adet farklý renklerde aldým.Ürün kalitesi ve þýklýðý güzel.95 kð.-1.80 cm.boydayým.XXL aldým iyi ve fermuar rahat kapanýyor bol degil.Üzerime göre istediðim gibi oldu.Tavsiye ederim.
1.0	Gerçekten söylenildiði gibi güzelmiþ, teþekkürler
1.0	Mont gorunumlu harýka tavsýye ederým kendý bedenýnýzden bý týk buyuk almanýzý önerýrým
1.0	Kesinlikle alýn aldýrýn çünkü çok rahat tam kalýp kendi numaranýzý alýn bayýldým??????
1.0	Ürün ilk kullanmada sýrt kýsmýndaki takma yeri sokuldu hiç yakýþmadý 5 yýldýzý yorum görünsün diye verdim parasýný hiç haketmiyor
0.0	Ürünün taban kýsmýnda darbeler mevcuttu. Maalesef iade etmek zorunda kaldým.
1.0	Ayakkabý çok rahat ama bir sorun var. Yan kýsýmlarýnýn üst yan kýsýmlarýk plastikimsi olmasý her an yýrtýlacakmýþ hissi veriyor. Ayrýca bu ayakkabý deðil de jump için yorum yapacak olursam, fiyat performans olarak en iyi markalardan olabilir. 9/10
1.0	Tek kelýmeyle muhtesem iki tane aldým cok memnunum
1.0	Ürün güzel kaliteli bu fiyata en iyi ürün
1.0	Kaliteli güzel duruyor beden tam L ise L alýn tavsiye edilir.
1.0	Çok yumuþak bir kýrampon
1.0	Ürün 6-7 saat aðzý yakacak sýcaklýkta tutuyor, kahve ile denedim. Yalnýz ilk birkaç kullanýmda ciddi plastik kokusu geliyor bilginiz olsun, sonrasýnda geçiyor. Aracým Kia Rio suluk bölmesine uymadý geniþ geldi termos, genel olarak kaliteli bir ürün. Yalnýz tutmalý olan modelini mi alsam mý acaba diye de düþündüm.
0.0	Ürün iyi ama pompasýný kýrýk yollamýþlar
0.0	beþ kuruþ etmez sakýn almayýn çöpe attým
1.0	Oðluma aldým güzel saðlam tavsiye ederim
1.0	Görselinin aynýsý gayet güzel alacaklara tavsiye ederim
1.0	Açýk konuþmak gerekirse ürün hiç beklemediðim þekilde saðlam ve kullanýþlý çýktý. Hiçbir eksi yan bulamadým. Satýcý da gayet iyi kargolamisti tavsiyedir. ?? öyle 2 adet dambýl a yüzlerce lira vermeye bence gerek yok.
1.0	Çok güzel bir ürün çok beðendim ama daha önceki Kolombiya XL aðaçlara göre birtýk daha geniþ gibi
1.0	6 aydýr kullanýyorum gayet memnunum. Tatile Antalya'ya da otobüse koyup getirdim. Çok iyi oldu.
1.0	Gayet iyi ortaokula baþlayan oðlum için aldý geniþliði çok güzel
1.0	Tek kelime ile süper
1.0	Kendim için aldým fiyatýna göre onnumara
0.0	Kapaðýnda ve tabanýnda ezikler mevcuttu. Ýade ettim
1.0	Pürmüz düzgün çalýþýyor. Malzeme kalitesi fena deðil. Kullanýrken itinalý davranýlýrsa epey iþ görür.
0.0	2 adet 41 numura tulum çizme sipariþ verdim adresime teslim edilmedi
0.0	Arkadaslar urun ile ilgili skinti yok 1 puan verme sebebim okumaniz urun isini yapiyor ama biraz guc istiyor ama o videolarda izlediginiz gibi kutugu yakamiyosunuz yanmiyor. Erikli selale kamp calisani beni gordu dene bakim videolarda izledigin gibj yakabilcekmisin dedi yakamadim kimsede yakamamis.
1.0	Fiyatýna göre normal .
1.0	Gayet iyi fiyatýna göre.sesi iyi çýkýyor aský ipi de dahil beðendim
1.0	Çok güzel çok memnun kaldým
1.0	Kendim için  aldým tam beden alýn kalitesi çok  güzel  satýcýya ve hepsiburadaya teþekkür ederim
1.0	harika uyum uygun fiyat
0.0	Ürün kaliteli fakat bana gelen kargo çok iyi paketlenmesi ne raðmen bir kaç yerinde ezik vardý . Satýcýnýn bu þekilde gönderdiðini inanýyorum ürün uyguna aldýðým içinde geri iade baþlamadým satýcý pek güvenilir degil
1.0	Beðendik güzel
1.0	Ürün göründüðü gibi tek cam þeffaf geldi polis savar ve kafada yaz rüzgarý hissetmek amacýyla kullanýlabilir sakýn ha sakýn koruma amaçlý almayýn baþtan söyleyeyim bence 10 numara
1.0	Çooook güzel
1.0	Gayet güzel en az 4saat sýcak tutuyor damlatma yok
1.0	Çok memnunuz iyi ki almýþýz. Çok terleyen ve bu nedenle sýk hasta olan çocuðunuz varsa mutlaka deneyin.
1.0	Fiyatýna göre güzel ürün
1.0	Ürün küçük marifeti büyük. Gayet güzel çalýþýyor. Ýki üç dk. da dolduruyor, tabi büyük ürünler için. Teþekkürler.
1.0	Urun kaliteli caki baglanmak icin ama biraz kisa. 3 cm uzun olsa daha iyi olurdu.
1.0	Çok beðendik teþekkürler
1.0	Ürün çok rahat tavsiye ederim
0.0	Ýnsanda biraz utanma olur ya ürünü hem farklý hem de kusurlu gönderiyorlar deðiþim yapýyorsun sana gonderdikleri diðer ürün de aynýsý çýkýyor boþu boþuna kargo ücreti vs kendilerini de düþünmüyorlar sanýrým
1.0	Begendim sertlikleri gayet iyi
1.0	Dayanýklý
1.0	fiyatýna göre süper
1.0	çok iyi halen kullanmaktayým
1.0	merhabalar,
1.0	Çok güzel  ve iyi haným elinde artýk havlu ile dolaþmýyor
0.0	Ýki defa cay koyarak denedim ikisinde de bikac saat sonra soðudu cay, buz oldu. Maalesef iade gonderdim
0.0	1 hafta olmadan heryeri açýldý yýrtýldý sakýn almayýn
1.0	Ürün güzel kaliteli içerisinden yama parçasý da çýktý teþekkürler
1.0	güzel rahat hafif.yarým yada bir numara büyük alabilrsiniz.43.5 tam oldu bana.
1.0	Kullanýyorum çok memnunum kaliteli ürün
1.0	Çok güzel bir  ürün tuyleme yapmýyor sýcak tutuyor
1.0	Alýnabilir. Kaliteli
1.0	Öncelikle Hepsiburada ya teþekkür ederim 
1.0	Ürün tahmin ettiðimden daha güzel geldi tþk ederim fiyatýna göre çok kaliteli iþcilik
1.0	Çok ufak bir pürüz var o da düzeltirek gönderilmiþ. Onun dýþýnda gayet tatlý ve kullanýþlý. Üþendiðimiz için iade sürecine girmedik.
1.0	Ürün yeni elime ulaþtý m almýþtým 172 boy 80 kg biraz dar geldi deðiþtirip l alacaðým. Yani m bedenide siritmiyor ama. Kalite olarak bu paraya alýnacak en iyi ürün. Benzer fiyatlara farklý marka almýþtým ama onun kalitesi çok kötüydü. Tereddüt etmede alin.
1.0	hevesle deðil lazýmsa alýn
1.0	Çok teþekkür aldýk orijinal ürün hýzlý kargo küçük oldu gönderdik ve hemen odemimizi yaptýlar
1.0	Arkadaþlar kapak kýsmýnda ezilmeler mevcut. Satýcýnýn cevabý depodan video çekerek çýkartýyoruz böyle bir þey mümkün deðil diyor. Paketleme falan çok kötüydü özen göstermemiþler. Ama ürünü uzun bir süredir denedim. Sýcak ve soðuk tutma konusunda hakkýný yiyemem. Ürün çok iyi kesinlikle almanýzý tavsiye ederim. Aþýrý bir ezilme olmadýðý için ürünü iade etmedim.
0.0	Ürünün ön ve cep fermuarlari çok kötü,
1.0	Gayet iyi kendi ayak bedeninizi alýn bana 9 günde geldi sorunsuz geldi ama kargo poþetin içinde geldi
1.0	Memnun kaldýk baþarýlý bir ürün
0.0	Eski voit iplerine göre biraz incelmiþ sanki,ama yine de voit farký,bilenler bilir
0.0	Ürün çok kalitesiz geldi resimdeki gibi deðil resimde görebilirsiniz
1.0	Kýzým severek kullanýyor. Arkadaþlarý da beðenmiþ. Rahat olduðunu söyledi
1.0	Gözünüz kapalý sipariþ verin çok iyi
0.0	Kesinlikle eski YDS kalitrsinden ve konforundan eser yok, bu aldýðým son bot 11 yýlda 3ncü YDS botumdu, 26.09.2022 de almýþtým 01.05.2023 tarihinde boya yaparken her iki botunda iç kýsým tabanlýk birleþim kenarý 10 cm kadar çatlama yapmýþ delinmek üzereydi, garanti kapsamýnda incelenmesi için geri gönderdim, ücret iadesi onaylandý, ayrýca Hepsiburada dan verilen sipariþlerde deðiþim isterseniz daha pahalý ürün seçme hakkýnýz yok yalnýzca YDS Shop üzerinden alýnan ürünlerde geçerliymiþ bilginiz olsun, bende yeni sipariþi YDS Shop dan verdim, eðer bu botta çabuk yýpranýrsa artýk YDS marka ürün almýcam
1.0	Güzel bir polar ceket. Sýcak tutuyor. Ama belden oturtmasý olmadýðý için salaþ duruyor. Keþke belden oturtmasý olsaydý
1.0	teþekkür ediyorum.
1.0	Kumaþý çok iyi,pamuk penye gibi,mevsimlik,kalýbý tam kalýp,bedeninizi alabilirsiniz.
1.0	Cuma aldým, Cumartesi elime ulaþtý. Satýcý öyle bir paket yapmýþ ki açmak için 5 dk uðraþtým:).
1.0	Ürün zamanýnda ve hýzlý bir þekilde geldi teþekkürler hepsiburada
1.0	gorunusu guzel kullaniminda sýkýntý yok
1.0	Eþim için aldým çok beðendi. Satýcýya ve kargo cu arkadaþlara teþekkür ederim özenle çalýþtýklarý için.
1.0	Bu çorabý giymeden havlu çorap sýcak tutuyor demeyin gerçekten soðuk kýþ günlerinde ayaklarýnýz sýcacýk oluyor. Kesinlikte tavsiye ediyorum
0.0	Görseldeki ve yazýlandan tamamen farklý bir yýldýzý bile etmez verilen paraya deðmez
1.0	Ürün harika o ayrý ama Kargolama çok kötüydü patpata sarýlmamýs, kaðýda sarýlmýþ,kargoda darbe görmüþ, kapaðý ezilmiþ haldeydi
0.0	Basit
1.0	F p urunu, goruntu kumas gayet kaliteli, dikisler biraz ozensiz iplik temizleme isi var
1.0	Bir saatlik havuz dersimde kesinlikle buhar yapmadý, memnun kaldým.
1.0	Çok kalitesi ve þýk ürün
0.0	araba iç lastiði gibi .
0.0	Aþýrý küçük
1.0	Efendim ürün elime bugün ulaþtý ürünü daha kullanmadým ürün göründüðü gibi çok güzel inþallah memnun kalýrým ayrýca maðaza yetkilisi iletiþim çok çok iyiydi iyi maðaza güzel maðaza muhteþem maðaza ayrýca çam sakýzý çoban armaðaný küçük hediye için teþekkür MAÐAZA TELVE teþekkür
1.0	Baya güzel bir ürün teþekkür ederim ??
1.0	Ürün güzel, pikniklerde vs termo bag ile kullanýldýðýnda oldukça etkili oluyor. Yoldayken etlerin bozulmasýný önlerken meyvelerin de soðuk kalmasýný saðladý. Büyük görünebilir ama boyutlarý küçük, buna dikkat edin.
1.0	Yumusacik cok guzel bir urun. Tesekkur ederim kargo hizliydi.
1.0	Çocuklarýn kullanýmý için gayet ideal,hafif ve saðlam.Tutacak kýsmý biraz daha yumuþak malzemeden yapýlabilirdi.
1.0	Tek eksi yönü boya kalitesi.
1.0	Arkadaþlar ilk baþta alýrken tereddüt ettim ama gelince inceledim müthiþ kalite abartýsýz söylüyorum nike adidas kinetix jump hepsini denedim bunun yanýndan bile geçmek çocuklarýnýza mutlaka alýn
1.0	Ürün güzel kedim baya oynadý çeþitli þekilleri olmasý da ilgisini çekti.
0.0	45kilo çýkmasý gereken þey 30kg çýktý toplamda 
0.0	Çok kaliteli deðil ama fiyata göre iyi sayýlýr iç hacmi büyük rahat iki kiþinin eþyasýný alýr valiz gibi
1.0	Tiþört cok güzel oldu
1.0	Çok büyük deðil ama ideal boyutta kaliteli saðlam tavsiye ederim
1.0	Cok hizli elime ulasti, ayakkabi guzel bekledigim gibi
1.0	Göründüðünden daha kaliteli söylenen tarihtede elime ulaþtý. Kesinlikle tavsiye ederim
1.0	Öncelikle hepsi buradaya çok teþekkür ederim ürün görseldekinin aynýsý ve çok güzel
1.0	Satýcý, yardýmcý olup ayný gün kargoya verdi, Perþembe sipariþi verdim Cumartesi teslim edildi, kargoda sorun yok ve ürün çiziksiz sorunsuz saðlam geldi.
1.0	Çok iyi bir ürün dar kalýp biraz ona göre alýn. Kutusu bile yepyeniydi orijinal ayakkabý
1.0	Kýzým çok beðendi
1.0	Fiyatýna göre gayet güzel bir ürün. Sadece bir tane vidanýn gireceði boþluk fazla dar yapýlmýþ bizi çok zorladý. Genel olarak bu fiyata sunduðu kaliteyi iyi buldum.
0.0	Ürün görselde gösterildiði gibi deðil kollarý ve bel altlarý lastikli hiç tavsiye etmem
1.0	Ürün Cok iyi kargolama ondan daha iyi teþekkürler
1.0	Güzel ve Þýk
